AnoAtendimento,TrimestreAtendimento,MesAtendimento,DataAtendimento,CodigoRegiao,Regiao,UF,CodigoTipoAtendimento,DescricaoTipoAtendimento,CodigoAssunto,DescricaoAssunto,GrupoAssunto,CodigoProblema,DescricaoProblema,GrupoProblema,SexoConsumidor,FaixaEtariaConsumidor,CEPConsumidor
2018,1,1,02JAN18:09:55:56,3,Sudeste,RJ,3,CIP (Carta de Informações Preliminares),185,Energia Elétrica,Energia Elétrica,3678,Recusa injustificada em prestar serviço,Problemas com Contrato,M,Nao Informada,28890000
2018,1,1,02JAN18:11:42:49,3,Sudeste,RJ,3,CIP (Carta de Informações Preliminares),54,Cartão de Crédito,Cartão de Crédito,1223,Calculo de prestação em atraso,Problemas com Cobrança,M,mais de 70 anos,28890000
2018,1,1,02JAN18:11:34:53,3,Sudeste,RJ,9,Abertura Direta de Reclamação,131,Carro Usado,Carros,2909,Venda enganosa,Problemas na Oferta,M,Nao Informada,28899389
2018,1,1,02JAN18:12:12:21,3,Sudeste,RJ,3,CIP (Carta de Informações Preliminares),186,Telefonia Fixa ( Plano de Expansão / Compra e Venda / Locação ),Telefonia Fixa,3635,Serviço não fornecido (entrega/instalação/não cumprimento da oferta/contrato),Problemas com Contrato,F,entre 61 a 70 anos,28890000
2018,1,1,02JAN18:13:22:53,3,Sudeste,RJ,9,Abertura Direta de Reclamação,101,"Telefone ( Convencional, Celular, Interfone, Etc. )",Aparelho Celular,2628,Não entrega/demora na entrega do produto,Problemas na Entrega de Produtos,F,Nao Informada,NULL
2018,1,1,02JAN18:14:12:53,3,Sudeste,RJ,9,Abertura Direta de Reclamação,102,Microcomputador / Produtos de Informática,Microcomputador / Produtos de Informática,2755,Publicidade enganosa,Problemas na Oferta,F,entre 31 a 40 anos,28894145
2018,1,1,02JAN18:15:33:59,3,Sudeste,RJ,3,CIP (Carta de Informações Preliminares),259,"TV Por Assinatura ( Cabo, Satélite, Etc. )",TV por Assinatura,5390,Cobrança indevida/abusiva,Problemas com Cobrança,F,Nao Informada,28898080
2018,1,1,02JAN18:16:44:34,3,Sudeste,RJ,3,CIP (Carta de Informações Preliminares),54,Cartão de Crédito,Cartão de Crédito,1117,Cobrança indevida.,Problemas com Cobrança,M,entre 61 a 70 anos,28890000
2018,1,1,02JAN18:16:29:07,3,Sudeste,RJ,9,Abertura Direta de Reclamação,101,"Telefone ( Convencional, Celular, Interfone, Etc. )",Aparelho Celular,7235,Defeito/Risco à saúde e segurança,Risco à Saúde e Segurança / Acidente de Consumo,F,Nao Informada,NULL
2018,1,1,03JAN18:09:20:04,3,Sudeste,RJ,3,CIP (Carta de Informações Preliminares),186,Telefonia Fixa ( Plano de Expansão / Compra e Venda / Locação ),Telefonia Fixa,3745,Cobrança indevida/abusiva,Problemas com Cobrança,M,entre 51 a 60 anos,28895094
2018,1,1,03JAN18:10:15:46,3,Sudeste,RJ,9,Abertura Direta de Reclamação,12,"Carnes e Derivados (Hambúrguer congelado cru, peitos de frango temperados congelados, embutidos: salame, mortadela, salsicha, etc.)",Carnes e Derivados,7180,Defeito/Risco à saúde e segurança,Risco à Saúde e Segurança / Acidente de Consumo,M,Nao Informada,28926806
2018,1,1,03JAN18:10:55:07,3,Sudeste,RJ,9,Abertura Direta de Reclamação,185,Energia Elétrica,Energia Elétrica,3744,Cobrança indevida/abusiva,Problemas com Cobrança,F,entre 61 a 70 anos,28888000
